Serial number;Course name;Author;Date;Version;Course_name;Cluster;Keywords_1.1 Domain;Keywords_1.2 Potential AI Use Cases;Keywords_1.3 Data in the Domain;Keywords_1.4 Implications of Using AI;Keywords_1.5 Additional Learning Resources;Keywords_2.1 Learners and Their Interaction with AI;Keywords_2.2 Instructors;Keywords_2.3 Internal Support;Keywords_3.1 Learning Outcomes;Keywords_3.2 Assessment;Keywords_3.3 Learning Activities;Yes;Yes
69;AI in International_Business_and_Economics;ABC;28-02-2025;1.0.0;International Business and Economics    ;"Business & Economics; Social Sciences & Humanities";"Global trade; economic principles; investment strategies; policy analysis; AI-driven insights; market complexities; data analytics; strategic optimization; economic trends; geopolitical factors";"AI-driven market analysis; economic forecasting; AI-powered decision-making; risk assessment; trade policy analysis; cross-cultural communication";"Global trade; financial markets; economic indicators; geopolitical data; social media sentiment; predictive modeling; risk assessment; data-driven decisions; international business; global operations";"Algorithmic bias; data privacy; cross-border data flow; international data protection; intellectual property; AI development; employment impact; inequality; global supply chains; consumer preferences; algorithmic discrimination; job displacement; automation.";"AI business research; global economics; case studies; international finance; supply chain analytics; data science; business strategy; online courses; business publications.";"International business students; AI application; market research; global strategy; AI insights; decision-making; stakeholder communication.";"AI-driven analytics; international business; quantitative methods; business strategy; machine learning; NLP; economic principles; practical applications";"Semester duration; software tools; dataset availability; interdisciplinary research; limited budget; programming statistics; AI model development";"AI applications; international business; economic forecasting; market research; risk assessment; global trade analysis; AI-driven insights; ethical implications; legal implications; AI strategies";"AI-driven business strategy; international market; case study analysis; data analysis projects; AI tools; research questions; presentation of findings; panel of experts; concept assessment; class engagement.";"International business; AI applications; decision-making scenarios; globalization; market analysis; economic forecasting; machine learning algorithms; business strategies; ethical implications; sustainable development";Yes;Yes
70;AI in IProcess_and_Power_Engineering;ABC;28-02-2025;1.0.0;Industrial Engineering / Process and Power Engineering    ;Engineering & Technology;"Industrial optimization; energy efficiency; process control; smart grid management; AI-driven insights; automated control; reliability; sustainability";"AI-driven energy; predictive analytics; real-time control; industrial process efficiency; smart grid reliability; AI-based forecasting; equipment failure prediction; optimized maintenance; demand response programs; energy balance.";"Power plant sensor data; process efficiency; real-time monitoring; historical weather; real-time control; consumption patterns; smart grid optimization; demand response.";"AI ethics; energy management; data privacy; regulatory compliance; energy sector automation; equitable energy access; algorithmic bias; energy distribution; carbon emission reduction";"AI in energy; smart grid; process control; IEEE Transactions; applied energy; online courses; textbooks";"Energy engineering; process optimization; AI-driven solutions; smart grids; energy management; AI for energy research; industrial automation; data analysis applications";"Power engineering; AI applications; energy markets; AI programming; machine learning algorithms; technical communication";"AI model training; computational resources; domain-specific datasets; software licenses; industry collaboration; budget limitations; sensitive data access.";"AI fundamentals; machine learning; energy applications; process optimization; smart grids; energy management; data analysis; ethical implications; legal implications; social implications; AI-driven solutions; power plants; industrial facilities";"AI modeling; energy consumption prediction; microgrid control; algorithm analysis; case study; project presentation";"AI-driven energy solutions; real-world AI applications; energy optimization; AI model building; Python TensorFlow; AI integration; energy systems; ethical implications; collaborative AI projects";Yes;Yes
71;AI in MathematicalEngineering;ABC;28-02-2025;1.0.0;Mathematical Engineering ;"Engineering & Technology; Natural Sciences";"Mathematical engineering; AI-driven optimization; computational simulations; structural analysis; automated problem-solving; enhanced modeling; AI-integration; system optimization.";"Structural behavior prediction; computational simulation enhancement; AI-driven design optimization; predictive maintenance scheduling; novel material discovery; adaptive control systems";"Equations; algorithms; computational simulations; real-world systems; sensors; AI training; validation; optimization; adaptive control.";"AI ethics; algorithmic transparency; data privacy regulations; workforce displacement; automation bias; innovation efficiency; AI over-reliance; socio-technical impact.";"AI-driven computational modeling; engineering mathematics research; numerical methods; optimization; machine learning; AI online courses; real-world applications";"Engineering students; mathematical foundation; AI-powered computation; engineering problem-solving; AI-driven innovation.";"Mathematical Engineering; AI-Driven Modeling; Interdisciplinary Expertise; Algorithm Development; Technical Communication";"MATLAB; Python; TensorFlow; high-performance computing; AI model training; IT support; software maintenance; hardware maintenance; budget limitations; domain-specific data scarcity";"AI fundamentals; machine learning; algorithm application; model development; AI model training; performance evaluation; results communication";"AI assessment; applied AI; engineering solutions; AI communication; algorithm implementation; data analysis; active learning.";"AI-driven structural analysis; computational simulations; optimization; mathematical concepts; engineering algorithms; ethical implications; legal implications; social implications; AI implementation; data analysis; collaborative problem-solving";Yes;Yes
72;AI in Mathematics;ABC;28-02-2025;1.0.0;Mathematics    ;Natural Sciences;"Abstract science; pure mathematics; applied mathematics; pattern discovery; theorem proving; mathematical research; computational modeling; data analysis; AI-enhanced problem-solving";"Differential equations; AI algorithms; automated theorem discovery; algebraic structures; genetic algorithms.";"Mathematical models; statistical datasets; algebraic computations; geometric data; AI algorithms; machine learning; data-driven analysis; symbolic data; AI reasoning.";"AI-generated proofs; mathematical theorem discovery; intellectual property; AI liability; mathematical research methodologies; fundamental mathematical skills";"AI-mathematics; symbolic computation; mathematical proofs; cryptography optimization; computational knowledge; arXiv preprints.";"Mathematics students; AI-enhanced research; numerical analysis; problem-solving; AI system collaboration; mathematical idea validation; undergraduate; graduate; calculus; linear algebra; basic programming";"Applied mathematics; AI-driven problem-solving; computational mathematics; mathematical modeling; numerical analysis; Python; MATLAB; machine learning algorithms; effective communication";"Domain-specific data; computational resources; AI tools; high-performance computing; interdisciplinary research funding; mathematical-AI expertise; budget constraints; course duration.";"AI fundamentals; mathematical problem-solving; algorithm development; numerical analysis; mathematical modeling; performance evaluation; ethical implications; social implications";"AI algorithms; equation solving; optimization problems; AI-driven models; theorem proving; machine learning; pattern recognition; mathematical structures; research findings; project outcomes";"AI-mathematics; real-world applications; cryptography; financial modeling; AI revolutionization; mathematical research; AI libraries; frameworks; AI algorithms; mathematical data analysis; AI integration; group projects.";Yes;Yes
73;AI in Mechanical_Engineering;ABC;28-02-2025;1.0.0;Mechanical Engineering     ;Engineering & Technology;"Mechanical systems; AI-driven automation; optimization algorithms; predictive maintenance; complex simulations; system reliability; mechanical design; manufacturing processes";"Predictive maintenance; robotic control; autonomous operation; mechanical simulations; FEA optimization; CFD acceleration; generative design; constraint-based design; quality inspection; computer vision.";"Sensor data; performance reports; CAD files; predictive maintenance; real-time monitoring; failure patterns; maintenance optimization; AI-driven design; automated manufacturing; time-series analysis; computer vision.";"Algorithmic bias; job displacement; autonomous systems liability; safety standards adherence; workforce retraining; predictive maintenance; system performance optimization.";"AI in manufacturing; AI-based modeling; AI simulation; IEEE Xplore; ScienceDirect; machine learning; AI for engineers; AI applications; AI-driven automation; predictive maintenance";"AI-enhanced mechanical design; manufacturing optimization; AI-driven maintenance; collaborative AI implementation; mechanical engineering; AI applications.";"AI-driven automation; mechanical engineering; AI algorithms; interdisciplinary teaching; project-based learning; practical applications; theoretical concepts";"MATLAB; Python; TensorFlow; PyTorch; CAD software; domain-specific datasets; interdisciplinary collaboration; computer science.";"AI fundamentals; machine learning; mechanical engineering applications; design; manufacturing; maintenance; algorithm implementation; data analysis; ethical implications; AI-driven solutions.";"AI algorithms; mechanical engineering; case studies; AI-driven solution; real-world problems; project implementation; theoretical concepts; practical applications; class engagement";"AI-driven solutions; predictive maintenance; generative design; design optimization; machine learning models; mechanical engineering workflows; MATLAB; Python; AI algorithms; real-world engineering scenarios; AI specialists; collaboration.";Yes;Yes
74;AI in MediaLiteracyudiovisualCultureandCommunication;ABC;28-02-2025;1.0.0;Media Literacy: Audiovisual Culture and Communication    ;"Social Sciences & Humanities; Design & Creative Arts";"Media literacy; media dynamics; content creation; audience engagement; critical evaluation; AI-driven transformation; content production; media distribution; media consumption";"Media analysis; content personalization; deepfake counteraction; automated content generation; audience behavior; misinformation flagging.";"Media consumption; social media engagement; video analytics; textual data; personalized recommendations; targeted advertising; sentiment analysis; trend identification; content optimization; audience understanding; content analysis; topic extraction; automated content generation; recommendation algorithms; natural language processing; computer vision; deepfake detection";"AI ethics; algorithmic bias; data privacy; AI transparency; copyright infringement; AI liability; GDPR compliance; deepfakes; misinformation; job displacement; echo chambers; filter bubbles; media accessibility; disinformation campaigns";"AI-media studies; academic research; AI-driven communication; online courses; AI journalism; AI guide; AI superpowers.";"Media students; AI in media; ethical considerations; AI applications; media analysis; content creation; cultural analysis; communication studies";"AI in media; media studies; communication studies; cultural analysis; AI applications; ethical implications; critical discussions";"Software licenses; AI tools; technical support; datasets; interdisciplinary research; domain-specific data scarcity; computing resource limitations";"AI in media; media production; ethical implications; content creation; media analysis; AI tools; modern communication";"AI in media; ethical implications; deepfake detection; AI-driven media project; misinformation detection; recommendation algorithms; news consumption; research presentation; class discussions";"AI-driven media; real-world case studies; sentiment analysis; deepfake detection; media literacy; hands-on labs; AI integration; media decision-making; experiential learning";Yes;Yes
75;AI in MedicalSystemsEngineering;ABC;28-02-2025;1.0.0;Medical Systems Engineering    ;"Engineering & Technology; Medical & Health Sciences";"Medical Systems Engineering; healthcare technology; AI-driven diagnostics; robotic-assisted surgery; personalized healthcare; intelligent systems; treatment optimization; patient care; diagnostic accuracy; healthcare solutions";"AI diagnostics; medical image analysis; robotic surgery enhancement; smart prosthetics; predictive healthcare; personalized medicine; drug discovery acceleration";"EHRs; medical imaging; hospital analytics; genomic data; predictive modeling; personalized treatment; AI-powered diagnostics; resource optimization; supervised learning; patient segmentation; deep learning";"Healthcare AI ethics; algorithmic bias; data privacy; HIPAA compliance; robotic surgery liability; AI-driven diagnostics; medical job displacement; patient trust; equitable access; personalized treatment; disease detection.";"AI in healthcare; medical imaging; diagnostics; treatment; medical devices; AI-driven systems; online courses; deep learning; medical image analysis";"Biomedical AI application; medical technology design; AI-driven diagnostics; healthcare solutions collaboration; AI tool evaluation; medical AI implementation; AI specialization; data analysis; medical systems.";"Medical engineering; AI-powered healthcare; medical imaging; signal processing; machine learning; interdisciplinary teaching; mentoring; healthcare regulations; ethical considerations.";"Medical imaging datasets; AI model training; high-performance computing; medical facilities collaboration; AI research labs; software tools; Python; TensorFlow; PyTorch; image processing libraries; semester duration";"AI fundamentals; machine learning applications; medical systems engineering; AI use cases; medical technologies; diagnostics; machine learning algorithms; medical imaging data; patient records; AI-driven medical devices; ethical constraints; regulatory constraints; AI performance; healthcare limitations";"AI in medicine; medical diagnostics; machine learning models; medical image classification; AI-driven medical device design; healthcare challenge; project proposal; AI algorithms; healthcare applications; ethical considerations";"AI-driven healthcare; medical diagnostics; robotic surgery; personalized medicine; medical image analysis; predictive modeling; AI integration; machine learning models; medical datasets; AI-driven medical devices";Yes;Yes
76;AI in Operations_Research_and_Business_Analytics;ABC;28-02-2025;1.0.0;Operations Research and Business Analytics    ;"Business & Economics; Computer Science & Data";"Predictive accuracy; real-time optimization; advanced analytics; data-driven decisions; automated processes; AI-enhanced forecasting; complex datasets; decision-making automation; business intelligence.";"AI-driven strategies; supply chain optimization; machine learning models; AI-powered simulations; demand forecasting; resource allocation; risk mitigation.";"KPI-driven reports; supply chain optimization; logistics performance; real-time dynamic decisions; customer preference analysis; AI-driven forecasting; financial resource allocation; organizational performance insights; AI-enabled improvement identification";"AI ethics; algorithmic bias; data privacy; transparency; data protection regulations; fairness; workforce displacement; automation; operational efficiency; supply chain optimization.";"AI in operations research; business analytics; AI-driven logistics; supply chain analytics; AI strategies";"Optimization; analytics; operational efficiency; strategic decision-making; AI tools; business analytics; statistical methods; operations research; real-world problem solving";"Business analytics; AI applications; operations research; optimization techniques; AI algorithms; interdisciplinary teaching; student engagement.";"Semester course; software accessibility; Python; R; optimization solvers; business datasets; supply chain; interdisciplinary learning; computing resources";"AI fundamentals; operations research; business analytics; supply chain management; resource allocation; decision-making improvement; data analysis; AI-driven insights; ethical considerations; legal implications; societal impact.";"AI-driven solutions; business problem solving; demand forecasting model; case study analysis; supply chain optimization; class participation; knowledge application.";"AI applications; logistics optimization; e-commerce; supply chain; predictive models; business data; decision-making; operations research; AI integration; scenario testing; business intelligence.";Yes;Yes
77;AI in PhilosophyNeurosciencesCognition;ABC;28-02-2025;1.0.0;Philosophy - Neurosciences - Cognition • ;"Social Sciences & Humanities; Natural Sciences";"AI-philosophy intersection; cognitive processes; neuroscientific understanding; consciousness challenges; ethical implications; moral responsibility; interdisciplinary analysis";"AI ethics; decision-making bias; cognitive simulation; human-AI interaction; psychological impact; mental health diagnosis; AI consciousness; neuroimaging analysis; brain activity patterns.";"Behavioral experiments; ethical dilemmas; neuroimaging; philosophical texts; AI behavior modeling; ethical AI development; neural correlates; cognitive function";"AI ethics; algorithmic bias; AI regulation; liability assignment; job displacement; social inequalities; mental health support; cognitive research; AI autonomy; moral responsibility";"AI ethics; philosophical implications; social impact; ethical design standards; policy recommendations; AI governance; societal inequality; algorithmic bias.";"Interdisciplinary learning; ethical AI; cognitive science; neuroscience; AI policy development; philosophical discussion.";"AI ethics; cognitive science; neuroscience; ethical theory; interdisciplinary teaching; philosophical concepts; ethical discussions";"Behavioral science datasets; neurocognitive studies; AI simulation software; Python; R; interdisciplinary collaboration; semester-long course";"AI fundamentals; ethical AI dilemmas; philosophical AI implications; moral AI responsibility; AI policy; cognitive science; neuroscience; human consciousness; constructive dialogue; ethical frameworks";"AI ethics; healthcare AI ethics; autonomous vehicle ethics; criminal justice AI ethics; AI guideline development; cognitive impact research; neuroscientific AI understanding; AI autonomy debate; ethical implication analysis.";"AI dilemmas; autonomous vehicle ethics; algorithmic bias; personal AI experiences; ethical implications; AI researchers; AI ethicists; cognitive science; neuroscience research; ethical frameworks; AI decision-making; AI bias analysis; philosophical perspectives; scientific perspectives; ethical framework development.";Yes;Yes
78;AI in ProcessSafetyandEnvironmentalEngineering;ABC;28-02-2025;1.0.0;Process Safety and Environmental Engineering    ;"Engineering & Technology; Natural Sciences";"Process safety; environmental impact minimization; industrial processes; AI-enhanced safety; resource optimization; regulatory compliance; predictive maintenance; real-time monitoring; decision-making algorithms; industrial systems; environmental challenges";"AI-driven risk assessment; environmental monitoring; hazard detection; predictive maintenance; resource optimization; compliance monitoring; machine learning; real-time data analysis; computer vision; deep learning; sustainability";"Industrial safety; pollution monitoring; climate impact; process data; AI-driven prevention; real-time mitigation; risk prediction; anomaly detection; sustainable practices; environmental hazards";"AI governance; algorithmic bias; job displacement; regulatory compliance; environmental safety; data privacy; ethical AI; AI failures; community involvement; responsible automation";"AI in environmental engineering; AI-driven risk management; process safety; environmental protection; environmental data science; machine learning for environmental monitoring";"Environmental engineering; risk management; interdisciplinary teams; AI-driven solutions; sustainability; stakeholder communication; environmental protection; industrial safety; chemical engineering.";"Process Safety; Chemical Engineering; AI applications; Environmental Protection; Risk Management; AI algorithms; Machine Learning; Data Science; Pedagogical Skills; Curriculum Integration";"Software licenses; high-performance computing; domain-specific datasets; interdisciplinary collaboration; pre-trained AI models; industry partnerships; faculty training.";"AI fundamentals; machine learning; process safety; environmental engineering; AI applications; risk assessment; hazard detection; resource optimization; sustainability; ethical implications; legal implications; social implications; environmental protection; risk management";"AI-driven risk assessment; industrial facilities; environmental monitoring; machine learning algorithms; predictive maintenance; chemical plant; energy consumption optimization; manufacturing; AI concepts; process safety; environmental engineering; group projects; case study analyses";"AI in process safety; AI in environmental engineering; real-world case studies; hands-on AI model development; data analysis; risk assessment; hazard detection; Python; AI-driven solutions; AI integration; ethical implications; decision-making scenarios; AI tools demonstrations";Yes;Yes
79;AI in Process_Engineering;ABC;28-02-2025;1.0.0;Process Engineering    ;"Engineering & Technology; Applied Sciences & Vocational Fields";"Process engineering; process optimization; AI-driven automation; predictive analytics; efficiency enhancement; cost reduction; industrial safety; chemical process; physical process; biological process.";"AI-driven automation; predictive maintenance; real-time process control; process optimization; chemical reaction simulations; quality control";"Industrial sensors; chemical simulations; process optimization; equipment logs; material properties; real-time monitoring; predictive models; process efficiency; predictive maintenance; reinforcement learning.";"AI ethics; algorithmic bias; data privacy; job displacement; workforce retraining; process safety; AI errors; regulatory compliance; transparency; automation impact";"AI in process engineering; AI-driven industrial automation; process optimization; machine learning; chemical engineering; deep learning; process control; modeling; simulation.";"Process engineering; AI-driven solutions; industrial applications; programming concepts; mathematical modeling; AI limitations; risk assessment; implementation.";"Process engineering; AI-powered optimization; process control; machine learning algorithms; industrial applications; complex concept communication; mentorship.";"Semester course; software tools; industrial sensor data; high-performance computing; interdisciplinary collaboration; industry partnerships; budget constraints; data confidentiality.";"AI in process engineering; machine learning fundamentals; process optimization; predictive maintenance; process control; industrial sensor data analysis; AI-driven solutions; process automation; ethical implications.";"AI algorithms; process engineering; AI-driven solutions; project implementation; results presentation; comprehensive assessments; active engagement";"AI-driven solutions; process engineering challenges; industrial processes; ethical implications; hands-on labs; AI algorithms; group projects";Yes;Yes
80;AI in Psychology;ABC;28-02-2025;1.0.0;Psychology    ;Social Sciences & Humanities;"Psychology; mind-behavior study; mental processes; personalized interventions; psychological research; mental health support; data analysis.";"AI chatbots; mental health assessments; emotion recognition; cognitive modeling; personalized therapy; predictive analysis; mental health crises; automated psychological assessments; computational models; treatment plan optimization; AI algorithms";"Psychological survey data; EEG signals; facial expression analysis; text data; behavioral data; mental health outcome prediction; cognitive-emotional process insights; automated emotion recognition; NLP-driven distress identification; behavioral pattern prediction";"AI ethics; algorithmic bias; data privacy; misdiagnosis risk; data protection compliance; GDPR; HIPAA; AI transparency; accountability; psychologist role evolution; AI literacy; mental healthcare accessibility; algorithmic discrimination; AI-powered chatbots";"AI in mental health; computational modeling; cognitive science; AI-driven therapy; behavioral research; AI education; computational cognitive science";"AI in psychology; ethical AI; mental health applications; AI evaluation; critical application; psychological research; practical considerations; data analysis; programming skills.";"AI-driven cognitive modeling; computational psychology; psychological theory; AI algorithms; machine learning; natural language processing; research methods";"AI model computing; psychological datasets; IT support; interdisciplinary collaboration; budget limitations; time constraints; software acquisition";"AI principles; machine learning; psychology applications; mental health; cognitive science; behavioral analysis; psychological data analysis; predictive models; ethical implications; legal implications; social implications; AI project design; research question; practical problem.";"AI psychology research critique; AI-driven psychological solutions; psychological datasets analysis; project-based learning; active discussion engagement; conceptual understanding assessment";"AI in psychology; mental health applications; cognitive science; ethical dilemmas; AI tools; emotion recognition; cognitive modeling; data analysis; psychological research; clinical work; hands-on labs; AI models; integration; traditional methods";Yes;Yes
81;AI in Statistics&DataAnalysis;ABC;28-02-2025;1.0.0;Statistics & Data Analysis    ;Computer Science & Data;"AI-enhanced statistics; automated data analysis; predictive modeling; real-time decision-making; large dataset processing; statistical methodologies; data insights";"AI-driven visualization; predictive model enhancement; machine learning-statistical modeling; automated data preprocessing; anomaly detection; real-time analytics";"Data types; large-scale datasets; statistical reports; real-time analytics; AI model training; comparative baselines; validation; dynamic response; statistical properties; AI technique selection; interpretability.";"AI bias; discriminatory outcomes; data privacy; security breaches; AI transparency; accountability; data protection regulations; GDPR compliance; liability for AI errors; statistical automation; AI misuse; statistical distortion; flawed conclusions; unintended consequences";"Statistical learning; machine learning research; data science education; statistical textbooks; pattern recognition.";"Statistics students; data science students; AI-enhanced modeling; predictive analytics; AI-driven solutions; ethical evaluation; statistical principles; machine learning experience.";"AI-powered analytics; statistical modeling; machine learning; data mining; data science education; statistical theory; R; Python";"Semester-based; domain-specific datasets; software-hardware accessibility; cloud platforms; interdisciplinary collaboration; budget constraints; specialized hardware limitations";"AI-enhanced statistics; predictive analysis; model evaluation; ethical challenges; communication; technical audiences";"AI algorithms; statistical modeling; regression; classification; clustering; AI-driven analysis; real-world problem solution; project presentation; concept assessment; learning evaluation; active engagement.";"AI-driven statistics; real-world applications; limitations of statistical methods; implementation of AI algorithms; AI tools and libraries; ethical implications; AI-driven data analysis; integration into research; fraud detection; medical diagnosis; hands-on exercises.";Yes;Yes
82;AI in Sustainable_Energy_Systems;ABC;28-02-2025;1.0.0;Sustainable Energy Systems    ;"Engineering & Technology; Natural Sciences";"Sustainable energy; renewable resources; smart grid; AI optimization; energy efficiency; predictive algorithms; intelligent control";"Renewable energy; AI-driven optimization; grid management; smart energy storage; predictive maintenance; energy consumption; demand response";"Renewable energy data; predictive maintenance; performance optimization; energy consumption patterns; real-time grid management; stability control; time series forecasting; anomaly detection; reinforcement learning.";"AI ethics; energy access bias; data privacy; algorithmic transparency; data security regulations; cybersecurity; grid stability; job displacement; public acceptance; equitable distribution; carbon emission reduction; smart grid vulnerabilities; energy solutions inequality.";"Renewable energy; smart grid management; AI applications; energy systems design; optimization; case studies; online courses; power & energy society; IEA; DOE; EPFL; TU Delft";"AI-driven sustainability; renewable energy optimization; energy consumption reduction; engineering-AI integration; sustainable energy systems; AI application development; environmental stewardship.";"Sustainable energy; AI-driven optimization; renewable energy systems; grid management; energy efficiency; machine learning; data analytics; AI-based solutions; engineering principles; complex concept communication.";"Renewable energy AI education; software access; energy datasets; high-performance computing; interdisciplinary collaboration; field trips; guest lecturers; Python; MATLAB; TensorFlow; PyTorch.";"AI fundamentals; sustainable energy applications; energy optimization; renewable energy solutions; data analysis; AI-based design; ethical implications";"AI applications; sustainable energy; renewable energy projects; microgrid optimization; solar panel performance; energy consumption reduction; problem sets; case study analysis; group project design; AI-based solution; quizzes; final presentation; class participation";"AI-driven sustainable energy; real-world case studies; data center energy optimization; brainstorming sessions; AI challenges; emerging technologies; Python predictive models; solar panel performance; industry expert lectures; renewable energy systems; energy consumption; AI-based solutions; energy systems integration; career opportunities";Yes;Yes
83;AI in Sustainable_Process_and_Environmental_Engineering;ABC;28-02-2025;1.0.0;Sustainable Process and Environmental Engineering     ;"Engineering & Technology; Natural Sciences";"Sustainable process optimization; environmental management; AI-driven sustainability; resource utilization efficiency; pollution control; predictive environmental modeling; data-driven decision-making; climate change mitigation; sustainable industrial practices.";"AI-driven sustainability; waste optimization; predictive climate modeling; environmental impact assessment; water resource management; air quality prediction; sustainable process optimization; resource conservation.";"Environmental monitoring; pollutant concentration; emissions data; meteorological data; energy consumption; resource utilization; satellite imagery; aerial surveys; environmental sensors; pollution prediction; climate modeling; industrial process optimization; time series analysis; pattern recognition.";"Environmental AI ethics; data privacy; environmental justice; regulatory compliance; AI accountability; job displacement; public awareness; biased policies; ecological consequences";"AI-environmental science; environmental informatics; sustainability solutions; UNEP; WRI; AI for Earth; sustainable energy design";"Sustainability engineering; environmental problem solving; AI techniques; sustainable process optimization; environmental management strategies; data analysis applications";"Environmental engineering; AI-driven climate analysis; environmental modeling; sustainable process design; interdisciplinary teaching; AI technologies; environmental science; engineering principles; student engagement";"Environmental datasets; interdisciplinary collaboration; software tools; Python; R; TensorFlow; ArcGIS; AI demonstrations; data analysis; institutional support";"AI fundamentals; sustainable processes; environmental engineering; AI applications; environmental domains; waste management; climate modeling; water resource management; environmental data interpretation; AI-driven decision-making; AI-driven problem-solving; AI techniques; environmental models; environmental solutions; ethical considerations; legal considerations; societal considerations; AI in environmental applications";"AI-driven environmental management; case study analysis; predictive modeling; environmental solutions; feasibility assessment; collaborative project; AI concepts.";"AI-driven environmental solutions; IBM Green Horizon; Google AI for Earth; predictive modeling; environmental data analysis; sustainability applications; environmental decision-making; AI integration in research; environmental datasets; AI tools demonstration";Yes;Yes
84;AI in SystemsEngineeringandEngineeringCybernetics;ABC;28-02-2025;1.0.0;Systems Engineering and Engineering Cybernetics    ;"Engineering & Technology; Computer Science & Data";"Systems engineering; engineering cybernetics; interdisciplinary design; complex system management; life cycle optimization; AI-enhanced automation; adaptive control; real-time optimization; predictive maintenance; autonomous systems; control theory integration; information science; system reliability.";"AI-driven optimization; adaptive control; cybernetic modeling; predictive maintenance; fault diagnosis; resource allocation.";"Control systems; industrial automation; cybernetics models; AI-driven control; predictive control; fault detection; manufacturing optimization; resource allocation; simulation validation; reinforcement learning; time-series analysis";"AI bias; autonomy control; algorithmic transparency; liability failures; data privacy; workforce displacement; AI-driven optimization; unintended consequences; system reliability.";"AI textbooks; systems engineering principles; IEEE transactions; systems engineering journal; online robotics courses; AI coursework.";"System design; control engineering; AI optimization; intelligent automation; AI-driven systems; programming proficiency; mathematical foundations";"Systems engineering; AI-driven automation; interdisciplinary teaching; AI algorithms; practical engineering; mentoring; control systems; systems engineering principles";"MATLAB; Python; Simulink; AI simulations; Control system design; Datasets; Industrial automation; Interdisciplinary research; Semester duration; Institutional support.";"AI fundamentals; systems engineering; cybernetics; algorithm optimization; complex system control; AI-driven automation; industrial applications; data analysis; AI modeling; ethical implications; legal implications; social implications";"AI algorithms; system optimization; AI-driven automation; predictive maintenance; AI-driven control; real-world application; design presentation; problem-solving; industry case studies.";"AI applications; systems engineering; autonomous vehicles; smart grids; robotic manufacturing; control systems; MATLAB; Python; Simulink; system simulation; AI algorithms; system optimization; AI-driven automation";Yes;Yes
85;AI in Systems_Engineering_for_Manufacturing;ABC;28-02-2025;1.0.0;Systems Engineering for Manufacturing    ;"Engineering & Technology; Applied Sciences & Vocational Fields";"Manufacturing systems engineering; AI-driven manufacturing; smart factories; predictive maintenance; adaptive production; manufacturing process optimization; automated decision-making.";"AI-manufacturing; process analytics; defect detection; AI-robotics; predictive maintenance; demand forecasting; digital twin simulation";"Manufacturing data; quality assurance; industrial sensors; equipment maintenance; supply chain; process optimization; AI-driven quality control; predictive maintenance; anomaly detection; time-series analysis; computer vision; reinforcement learning";"AI ethics; algorithmic bias; data privacy; workforce automation; job displacement; retraining; industry regulations; data security; intellectual property; cybersecurity; human-AI collaboration; product quality; efficiency.";"AI-manufacturing; automation science; production optimization; industry 4.0; smart manufacturing; AI-driven operations; manufacturing systems; AI courses; AI books";"Manufacturing AI; systems engineering; process optimization; predictive maintenance; quality control; AI-driven solutions; industrial efficiency; sustainability; data analysis; control systems; AI application deployment";"Manufacturing systems engineering; AI-driven automation; machine learning; data analytics; teaching; research; manufacturing processes; systems engineering; AI programming (Python; TensorFlow; PyTorch); communication skills; active learning; project-based learning";"Software licenses; hardware resources; teaching assistants; lab technicians; course semester; domain-specific data; Python; TensorFlow; PyTorch; Scikit-learn; cloud computing platforms; industrial robots; sensors; actuators; industry collaboration; interdisciplinary research.";"AI fundamentals; manufacturing applications; machine learning optimization; quality control; predictive maintenance; intelligent robotics; data analysis; ethical implications; AI-driven solutions";"AI in manufacturing; machine learning applications; AI-driven solutions; manufacturing datasets; real-world problem solving; project implementation; effectiveness demonstration; AI concept understanding; knowledge assessment; class engagement.";"AI-driven manufacturing; industrial AI; predictive maintenance; automated production; manufacturing datasets; machine learning algorithms; AI integration; collaborative problem-solving; hands-on labs; industrial applications; AI-driven solutions";Yes;Yes
86;AI in Teaching_Profession_at_Vocational_Schools;ABC;28-02-2025;1.0.0;Vocational Education    ;Applied Sciences & Vocational Fields;"Vocational education; skills-based training; AI-enhanced learning; personalized education; adaptive learning paths; automated administration; data-driven insights; skill assessment; training effectiveness";"AI-driven education; skills gap analysis; personalized feedback; VR simulations; adaptive learning paths; predictive analytics; intelligent tutoring.";"Student performance; vocational placement; employer satisfaction; skills demand; personalized learning; curriculum development; program evaluation; predictive modeling; student feedback analysis; targeted interventions; industry alignment";"AI ethics in education; algorithmic bias; student data privacy; data protection regulations; teacher role impact; job displacement; skill retraining; educational equity.";"AI-vocational integration; AI-enhanced training; vocational schools; AI trends; academic research; industry reports";"Vocational educators; AI integration; personalized learning; skill assessment; technical expertise; educational practices; AI-driven methods.";"AI-driven learning; vocational education; machine learning algorithms; data analysis; AI tools for education; curriculum development; teacher training; pedagogical skills; hands-on training";"Budget allocation; personnel support; data accessibility; AI tools; computing infrastructure; VR equipment; interdisciplinary collaboration; vocational outcomes; skills gap analysis.";"AI in vocational education; personalized learning; skill assessment; AI-enhanced lesson design; data-driven instruction; targeted feedback; ethical considerations; legal implications; social impact.";"AI in vocational education; AI-driven learning; ethical AI analysis; AI-enhanced training program; vocational skills; group project implementation; presentation of findings; active class engagement; comprehensive assessment";"Vocational education; AI integration; real-world challenges; personalized learning; skill assessment; AI-enhanced lesson plans; training programs; brainstorming; teaching methods; industry experts";Yes;Yes
